Close,Date,High,Low,Open,Volume
1.24683,2016-12-15T13:00:00.000000000Z,1.24734,1.24455,1.24696,1663
1.24816,2016-12-15T13:30:00.000000000Z,1.24816,1.24612,1.24683,1548
1.24979,2016-12-15T14:00:00.000000000Z,1.24985,1.24734,1.2481,1146
1.24794,2016-12-15T14:30:00.000000000Z,1.24985,1.24782,1.24985,1297
1.24335,2016-12-15T15:00:00.000000000Z,1.24805,1.2423,1.24799,1440
1.24084,2016-12-15T15:30:00.000000000Z,1.2434,1.24007,1.2434,1362
1.24104,2016-12-15T16:00:00.000000000Z,1.24206,1.24008,1.24086,1095
1.23886,2016-12-15T16:30:00.000000000Z,1.24136,1.23764,1.241,935
1.24076,2016-12-15T17:00:00.000000000Z,1.24162,1.23875,1.23886,1102
1.24404,2016-12-15T17:30:00.000000000Z,1.24424,1.24044,1.2407,822
1.24461,2016-12-15T18:00:00.000000000Z,1.24494,1.24291,1.24398,644
1.2451,2016-12-15T18:30:00.000000000Z,1.24532,1.24368,1.24456,486
1.2449,2016-12-15T19:00:00.000000000Z,1.24556,1.24358,1.24504,502
1.24385,2016-12-15T19:30:00.000000000Z,1.24506,1.24342,1.24484,457
1.24201,2016-12-15T20:00:00.000000000Z,1.24384,1.2419,1.24384,640
1.24282,2016-12-15T20:30:00.000000000Z,1.24313,1.2414,1.24202,600
1.24206,2016-12-15T21:00:00.000000000Z,1.24287,1.24169,1.24287,285
1.242,2016-12-15T21:30:00.000000000Z,1.24258,1.24186,1.24212,681
1.24207,2016-12-15T22:00:00.000000000Z,1.24372,1.24148,1.24372,278
1.24216,2016-12-15T22:30:00.000000000Z,1.2426,1.24189,1.24195,237
1.24229,2016-12-15T23:00:00.000000000Z,1.24291,1.2421,1.24238,984
1.2422,2016-12-15T23:30:00.000000000Z,1.24263,1.24195,1.24228,1315
1.24104,2016-12-16T00:00:00.000000000Z,1.24223,1.24075,1.2422,345
1.2391,2016-12-16T00:30:00.000000000Z,1.24116,1.23908,1.24104,985
1.23968,2016-12-16T01:00:00.000000000Z,1.23993,1.23828,1.23911,514
1.2403,2016-12-16T01:30:00.000000000Z,1.24078,1.23935,1.23968,436
1.24111,2016-12-16T02:00:00.000000000Z,1.24112,1.24018,1.24024,247
1.2402,2016-12-16T02:30:00.000000000Z,1.24111,1.24007,1.24105,243
1.24066,2016-12-16T03:00:00.000000000Z,1.24073,1.24013,1.24016,194
1.24099,2016-12-16T03:30:00.000000000Z,1.24102,1.2405,1.24066,234
1.24169,2016-12-16T04:00:00.000000000Z,1.24169,1.2408,1.24096,242
1.24199,2016-12-16T04:30:00.000000000Z,1.242,1.24118,1.24164,171
1.24191,2016-12-16T05:00:00.000000000Z,1.24202,1.24174,1.24194,66
1.24266,2016-12-16T05:30:00.000000000Z,1.24316,1.24194,1.24194,93
1.24298,2016-12-16T06:00:00.000000000Z,1.24314,1.24225,1.24267,224
1.24376,2016-12-16T06:30:00.000000000Z,1.2439,1.24272,1.24292,267
1.24313,2016-12-16T07:00:00.000000000Z,1.24375,1.24266,1.24371,344
1.24422,2016-12-16T07:30:00.000000000Z,1.24496,1.24274,1.24308,949
1.2443,2016-12-16T08:00:00.000000000Z,1.24505,1.24293,1.24423,978
1.24337,2016-12-16T08:30:00.000000000Z,1.24432,1.24304,1.24428,555
1.24152,2016-12-16T09:00:00.000000000Z,1.24394,1.24148,1.24342,635
1.24204,2016-12-16T09:30:00.000000000Z,1.24308,1.24102,1.24154,895
1.24447,2016-12-16T10:00:00.000000000Z,1.24487,1.24163,1.24212,871
1.24466,2016-12-16T10:30:00.000000000Z,1.24538,1.24363,1.24452,676
1.2449,2016-12-16T11:00:00.000000000Z,1.24512,1.24399,1.24464,568
1.24252,2016-12-16T11:30:00.000000000Z,1.24512,1.24132,1.24484,867
1.246,2016-12-16T12:00:00.000000000Z,1.24623,1.24258,1.24258,807
1.24518,2016-12-16T12:30:00.000000000Z,1.24646,1.24507,1.246,844
1.24362,2016-12-16T13:00:00.000000000Z,1.24541,1.24282,1.24518,946
1.24382,2016-12-16T13:30:00.000000000Z,1.24465,1.24282,1.24367,921
1.24243,2016-12-16T14:00:00.000000000Z,1.2442,1.24163,1.24388,728
1.24199,2016-12-16T14:30:00.000000000Z,1.24273,1.24036,1.24248,822
1.24304,2016-12-16T15:00:00.000000000Z,1.24424,1.24152,1.24204,818
1.2434,2016-12-16T15:30:00.000000000Z,1.24404,1.24252,1.2431,1158
1.24696,2016-12-16T16:00:00.000000000Z,1.24795,1.2424,1.24334,1611
1.24768,2016-12-16T16:30:00.000000000Z,1.24789,1.24474,1.24701,1760
1.24992,2016-12-16T17:00:00.000000000Z,1.24993,1.24742,1.24774,1142
1.2497,2016-12-16T17:30:00.000000000Z,1.25102,1.24928,1.24997,1105
1.24965,2016-12-16T18:00:00.000000000Z,1.25018,1.24881,1.24976,790
1.24966,2016-12-16T18:30:00.000000000Z,1.24986,1.24798,1.24964,797
1.24868,2016-12-16T19:00:00.000000000Z,1.25021,1.24819,1.2497,488
1.24718,2016-12-16T19:30:00.000000000Z,1.2489,1.24718,1.24863,535
1.24768,2016-12-16T20:00:00.000000000Z,1.24826,1.24709,1.2472,504
1.2482,2016-12-16T20:30:00.000000000Z,1.24827,1.24741,1.24768,331
1.24792,2016-12-16T21:00:00.000000000Z,1.24828,1.2476,1.24817,241
1.24882,2016-12-16T21:30:00.000000000Z,1.24887,1.24792,1.24798,1115
1.24824,2016-12-18T22:00:00.000000000Z,1.24941,1.24779,1.24877,210
1.24872,2016-12-18T22:30:00.000000000Z,1.24898,1.24771,1.24801,694
1.24938,2016-12-18T23:00:00.000000000Z,1.24954,1.24863,1.24895,992
1.24896,2016-12-18T23:30:00.000000000Z,1.24966,1.24876,1.24936,2786
1.24944,2016-12-19T00:00:00.000000000Z,1.2495,1.24885,1.24901,216
1.2486,2016-12-19T00:30:00.000000000Z,1.25003,1.2486,1.2495,410
1.24947,2016-12-19T01:00:00.000000000Z,1.24975,1.24861,1.24861,859
1.24945,2016-12-19T01:30:00.000000000Z,1.25028,1.2492,1.24947,514
1.24902,2016-12-19T02:00:00.000000000Z,1.24986,1.24898,1.24945,369
1.24809,2016-12-19T02:30:00.000000000Z,1.24908,1.24803,1.24908,397
1.24794,2016-12-19T03:00:00.000000000Z,1.24828,1.24781,1.24814,246
1.24808,2016-12-19T03:30:00.000000000Z,1.24824,1.24782,1.24788,263
1.24694,2016-12-19T04:00:00.000000000Z,1.2485,1.24682,1.24813,280
1.24799,2016-12-19T04:30:00.000000000Z,1.24799,1.24674,1.24691,187
1.24791,2016-12-19T05:00:00.000000000Z,1.24826,1.24786,1.24798,276
1.24852,2016-12-19T05:30:00.000000000Z,1.24859,1.24793,1.24793,179
1.24842,2016-12-19T06:00:00.000000000Z,1.24872,1.24793,1.24853,207
1.249,2016-12-19T06:30:00.000000000Z,1.24952,1.24836,1.24847,715
1.24876,2016-12-19T07:00:00.000000000Z,1.24918,1.24811,1.24894,522
1.24866,2016-12-19T07:30:00.000000000Z,1.24907,1.24783,1.24872,465
1.24889,2016-12-19T08:00:00.000000000Z,1.24925,1.2475,1.24867,622
1.24879,2016-12-19T08:30:00.000000000Z,1.24921,1.24782,1.24894,507
1.24957,2016-12-19T09:00:00.000000000Z,1.24995,1.2486,1.24874,661
